Site,Date,Comment
Jyndevad,14-04-2013,Sowing pea cultivare Alvestra, depth 5 cm, row distance 12 cm, seed rate 235 kg ha-1,using a combine drill, final plant number 92 m-2
Jyndevad,26-04-2013,BBCH stage 9 – emergence
Jyndevad,03-05-2013,BBCH stage 12
Jyndevad,07-05-2013,Fighter 480 (bentazone) + Stomp (pendimethalin) 0.4 L ha-1 + 0.6 L ha-1 - weeds (pendimethalin not analysed)
Jyndevad,07-05-2013,BBCH stage 13-14
Jyndevad,13-05-2013,BBCH stage 14
Jyndevad,16-05-2013,BBCH stage 14-15
Jyndevad,16-05-2013,Bentazon 480 (bentazone) + Stomp (pendimethalin) 0.5 L ha-1 + 0.6 L ha-1 - weeds (pendimethalin not analysed)
Jyndevad,17-05-2013,Fertilization 16.0 P, 83.2 K, kg ha-1
Jyndevad,21-05-2013,BBCH stage 25
Jyndevad,27-05-2013,BBCH stage 30
Jyndevad,03-06-2013,BBCH stage 37
Jyndevad,04-06-2013,Biomass 105.7 g m-2 - 100% DM
Jyndevad,06-06-2013,BBCH stage 38
Jyndevad,06-06-2013,Irrigation - 30 mm ha-1. Started on eastside 06/06. Ended on westside 07/06
Jyndevad,10-06-2013,BBCH stage 41
Jyndevad,17-06-2013,BBCH stage 60
Jyndevad,21-06-2013,Biomass 393.5 g m-2 - 100% DM
Jyndevad,25-06-2013,BBCH stage 65
Jyndevad,01-07-2013,BBCH stage 67
Jyndevad,09-07-2013,BBCH stage 68
Jyndevad,09-07-2013,Irrigation - 30 mm ha-1. Started on eastside 09/07. Ended on westside 10/07
Jyndevad,15-07-2013,BBCH stage 69
Jyndevad,15-07-2013,Biomass 722.5 g m-2 - 100% DM
Jyndevad,16-07-2013,Pirimor G (pirimicarb) - pests - 0.25 kg ha-1 (not analysed)
Jyndevad,22-07-2013,BBCH stage 78
Jyndevad,29-07-2013,BBCH stage 81
Jyndevad,05-08-2013,Biomass 737.2 g m-2 - 100% DM
Jyndevad,05-08-2013,BBCH stage 90
Jyndevad,07-08-2013,Harvest of pea - western half of the field - interrupted by rain. Seed yield 38.8 hkg ha-1 - 86% DM. Strawyield 30.1 hkg ha-1 - 100% DM, stubble height 10 cm. Straw shreddet at harvest
Jyndevad,14-08-2013,Harvest of the eastern half of the field - straw shreddet at harvest
Jyndevad,20-08-2013,Stuble cultivation - 8 cm depth
Jyndevad,22-08-2013,Rotor harrowed - 7 cm depth
Jyndevad,26-03-2014,Ploughing - 22 cm depth
Jyndevad,09-04-2014,Rolled with concrete roller
